-DOCSTART- -X- -X- O
LAD O O O
	Chest: O O O
Good O O O
A/E O O O
throughout. O O O
Bibasilar O O O
rales. O O O
No O O O
wheezes. O O O
	CV: O O O
RRR, O O O
no O O O
m/g/r. O O O
Nl O O O
S1, O O O
S2. O O O
	Abd: O O O
Soft, O O O
nd/nt. O O O
NABS. O O O
No O O O
masses. O O O
	Ext: O O O
WWP. O O O
No O O O
c/c/e. O O O
	Neuro: O O O
CN O O O
II-XII O O O
and O O O
4 O O O
extremity O O O
strength O O O
grossly O O O
intact. O O O
Data: O O O
Hematology O O O
Detail O O O
for O O O
DOHERTY, O O O
DANIEL O O O
FMC O O O
05-Mar-2133 O O O
08:15 O O O
Accession# O O O
5715:Z59777 O O O
Test O O O
Description O O O
Result O O O
Flags O O O
Ref. O O O
Range O O O
Units O O O
WBC O O O
8.6 O O O
# O O O
(4.8-10.8) O O O
K/mm3 O O O
RBC O O O
3.70 O O O
L O O O
(4.7-6.1) O O O
M/uL O O O
HEMOGLOBIN O O O
10.9 O O O
L O O O
(14.0-18.0) O O O
g/L O O O
HEMATOCRIT O O O
31.8 O O O
L O O O
(42-52) O O O
% O O O
MCV O O O
85.9 O O O
(80-94) O O O
fl O O O
MCH O O O
29.5 O O O
(27-31) O O O
pg O O O
MCHC O O O
34.3 O O O
(33-37) O O O
g/dl O O O
PLATELET O O O
COUNT O O O
180 O O O
(130-400) O O O
K/uL O O O
GRANULOCYTES O O O
62.0 O O O
(37-80) O O O
% O O O
LYMPHOCYTE O O O
21.8 O O O
(10-50) O O O
% O O O
MONOCYTES O O O
8.2 O O O
(0-12) O O O
% O O O
EOS O O O
% O O O
7.1 O O O
H O O O
(0-7) O O O
% O O O
BASO O O O
% O O O
0.9 O O O
(0-2.5) O O O
% O O O
GRAN O O O
# O O O
5.3 O O O
FMC O O O
05-Mar-2133 O O O
08:15 O O O
Accession# O O O
6804:Q02120 O O O
Test O O O
Description O O O
Result O O O
Flags O O O
Ref. O O O
Range O O O
Units O O O
BUN O O O
20 O O O
(9-26) O O O
mg/dL O O O
CREATININE O O O
1.3 O O O
(0.7-1.3) O O O
mg/dL O O O
SODIUM O O O
144 O O O
(136-145) O O O
mEq/L O O O
POTASSIUM O O O
4.2 O O O
(3.4-4.8) O O O
mEq/L O O O
CHLORIDE O O O
104 O O O
(98-107) O O O
mEq/L O O O
CARBON O O O
DIOXIDE O O O
27 O O O
(21-30) O O O
mEq/L O O O
Test O O O
Description O O O
Result O O O
Flags O O O
Ref. O O O
Range O O O
Units O O O
UA-Color O O O
Yellow O O O
(YELLOW) O O O
UA-Turbidity O O O
Clear O O O
(CLEAR) O O O
UA-Glucose O O O
NEGATIVE O O O
(NEG) O O O
UA-Bili O O O
NEGATIVE O O O
(NEG) O O O
UA-Ketones O O O
NEGATIVE O O O
(NEG) O O O
UA-Specific O O O
Gravity O O O
1.012 O O O
(1.001-1.035) O O O
UA-Occult O O O
Blood O O O
NEGATIVE O O O
(NEG) O O O
UA-pH O O O
5.5 O O O
(5.0-9.0) O O O
UA-Albumin O O O
NEGATIVE O O O
(NEG) O O O
UA-Urobilinogen O O O
NEGATIVE O O O
(NEG) O O O
UA-Nitrite O O O
NEGATIVE O O O
(NEG) O O O
UA-WBC O O O
Screen O O O
NEGATIVE O O O
(NEG) O O O
2/18/33 O O O
Carotid O O O
Duplex O O O
1. O O O
Bilateral O O O
minimal O O O
1-19% O O O
stenosis O O O
of O O O
the O O O
internal O O O
carotid O O O
arteries. O O O
2. O O O
No O O O
significant O O O
stenosis O O O
in O O O
the O O O
external O O O
carotid O O O
arteries O O O
bilaterally. O O O
3. O O O
Antegrade O O O
flow O O O
in O O O
both O O O
vertebral O O O
arteries. O O O
Radiology: O O O
ANATOMIC O O O
REGION O O O
STATUS O O O
ROUTINE O O O
DIMENSIONS O O O
REGIONAL O O O
WALL O O O
MOTION O O O
(normal) O O O
(completed O O O
only O O O
if O O O
abn.) O O O
MITRAL O O O
VALVE O O O
ABN O O O
SEGMENT O O O
BASE O O O
MID O O O
APEX O O O
LEFT O O O
ATRIUM O O O
ABN O O O
LA O O O
48 O O O
(25-38mm) O O O
AV. O O O
A0. O O O
LVOT O O O
ABN O O O
AO O O O
38 O O O
(24-39mm) O O O
anterior O O O
LEFT O O O
VENT. O O O
ABN O O O
LVIDd O O O
61 O O O
(37-53mm) O O O
ant.sep. O O O
TV. O O O
RA. O O O
VC. O O O
NORM O O O
LVIDs O O O
53 O O O
mid.sep. O O O
PV. O O O
INF. O O O
PA. O O O
NORM O O O
PWT O O O
13 O O O
( O O O
7-11mm) O O O
inf.sep. O O O
RIGHT O O O
VENT. O O O
NORM O O O
IVS O O O
11 O O O
( O O O
7-11mm) O O O
inferior O O O
IAS. O O O
IVS. O O O
NORM O O O
inf.pos. O O O
COMPLEX O O O
CHD O O O
EF O O O
35 O O O
% O O O
( O O O
>50 O O O
%) O O O
pos.lat. O O O
CORONARIES O O O
UV O O O
lateral O O O
PERICARDIUM O O O
NORM O O O
Wall O O O
Motion O O O
Abbreviations: O O O
N=Normal O O O
H=Hypokinetic O O O
A=Akinetic O O O
D=Dyskinetic O O O
RefMD O O O
IANNONE O O O
MD, O O O
FISCHER O O O
. O O O
Reason O O O
CAD; O O O
S/P O O O
CABG; O O O
? O O O
LV O O O
fxn; O O O
? O O O
Valve O O O
DZ; O O O
Tape O O O
Color: O O O
Number: O O O
Footage: O O O
- O O O
Study O O O
Quality: O O O
4 O O O
Color O O O
Flow O O O
Doppler O O O
TTE O O O
-Technically O O O
Difficult O O O
Study- O O O
Sub O O O
optimal O O O
parasternal O O O
images. O O O
MITRAL O O O
VALVE O O O
There O O O
is O O O
calcification O O O
of O O O
the O O O
posterior O O O
mitral O O O
annulus. O O O
There O O O
is O O O
no O O O
evidence O O O
of O O O
mitral O O O
valve O O O
prolapse. O O O
There O O O
is O O O
no O O O
evidence O O O
of O O O
mitral O O O
regurgitation O O O
by O O O
color O O O
and O O O
spectral O O O
Doppler. O O O
LEFT O O O
ATRIUM O O O
The O O O
left O O O
atrium O O O
is O O O
dilated. O O O
AORTIC O O O
VALVE, O O O
AORTA, O O O
LVOT O O O
Multiple O O O
aortic O O O
leaflets O O O
are O O O
thickened O O O
but O O O
there O O O
is O O O
no O O O
stenosis. O O O
The O O O
aortic O O O
valve O O O
is O O O
tricuspid. O O O
There O O O
is O O O
evidence O O O
of O O O
trace O O O
aortic O O O
insufficiency O O O
by O O O
color O O O
and O O O
spectral O O O
Doppler. O O O
LEFT O O O
VENTRICLE O O O
The O O O
left O O O
ventricular O O O
cavity O O O
size O O O
is O O O
dilated. O O O
The O O O
left O O O
ventricular O O O
systolic O O O
function O O O
is O O O
moderately O O O
impaired. O O O
The O O O
left O O O
ventricle O O O
is O O O
diffusely O O O
hypokinetic O O O
with O O O
regional O O O
variation. O O O
The O O O
estimated O O O
ejection O O O
fraction O O O
is O O O
35 O O O
%. O O O
TRICUSPID O O O
VALVE O O O
- O O O
IVC, O O O
SVC O O O
There O O O
is O O O
color O O O
and O O O
spectral O O O
Doppler O O O
evidence O O O
of O O O
trace O O O
tricuspid O O O
insufficiency. O O O
PULMONARY O O O
VALVE, O O O
INFUND., O O O
P.A. O O O
There O O O
is O O O
an O O O
insufficient O O O
tricuspid O O O
regurgitation O O O
Doppler O O O
profile O O O
to O O O
estimate O O O
an O O O
RV O O O
systolic O O O
pressure. O O O
RIGHT O O O
VENTRICLE O O O
The O O O
right O O O
ventricle O O O
is O O O
not O O O
dilated. O O O
The O O O
right O O O
ventricular O O O
systolic O O O
function O O O
is O O O
within O O O
normal O O O
limits. O O O
PERICARDIAL O O O
DISEASE O O O
AND O O O
EXTRACARDIAC O O O
MASSES O O O
There O O O
is O O O
no O O O
evidence O O O
of O O O
pericardial O O O
effusion. O O O
2/11/33 O O O
Left O O O
Heart O O O
Cath O O O
1) O O O
Three O O O
vessel O O O
coronary O O O
artery O O O
disease. O O O
The O O O
Left O O O
Main O O O
is O O O
large O O O
and O O O
has O O O
only O O O
mild O O O
irregularities. O O O
The O O O
LAD O O O
is O O O
diffusely O O O
diseased O O O
(30 O O O
- O O O
40%) O O O
and O O O
has O O O
a O O O
distal O O O
80% O O O
stenosis. O O O
The O O O
Left O O O
Cx O O O
is O O O
totally O O O
occluded O O O
The O O O
LCx O O O
receives O O O
faint O O O
collaterals O O O
from O O O
the O O O
LAD O O O
territority. O O O
The O O O
ramus O O O
branch O O O
has O O O
diffuse O O O
disease O O O
with O O O
a O O O
80% O O O
proximal O O O
stenosis O O O
and O O O
a O O O
70% O O O
mid O O O
stenosis. O O O
The O O O
RCA O O O
is O O O
occluded O O O
proximally O O O
and O O O
there O O O
are O O O
right O O O
to O O O
right O O O
collaterals. O O O
There O O O
are O O O
80% O O O
mid O O O
and O O O
80% O O O
distal O O O
stenoses O O O
in O O O
the O O O
RCA. O O O
2) O O O
LV O O O
gram O O O
shows O O O
EF O O O
of O O O
30%, O O O
with O O O
anterior/apical O O O
akinesis O O O
and O O O
inferior O O O
hypokinesis. O O O
3) O O O
Right O O O
dominant O O O
system O O O
EKG: O O O
Admission O O O
(no O O O
recent O O O
EKG O O O
available O O O
for O O O
comparison O O O
upon O O O
admit) O O O
NSR O O O
@ O O O
66, O O O
LAD, O O O
IVCD O O O
(QRS O O O
114) O O O
with O O O
partial O O O
LBBB O O O
morphology, O O O
PRWP, O O O
nonspecific O O O
STTW O O O
changes O O O
(inverted O O O
I, O O O
II, O O O
L). O O O
Impression: O O O
68yo O O O
M O O O
with O O O
h/o O O O
vfib O O O
arrest O O O
and O O O
severe O O O
3-vd, O O O
transferred O O O
back O O O
to O O O
NAMC O O O
from O O O
FMC O O O
in O O O
preparation O O O
for O O O
CABG O O O
planned O O O
03/07/33. O O O
Plan: O O O
CV O O O
Admitted O O O
for O O O
CABG O O O
Ischemia: O O O
Continue O O O
BB, NNP B-NP B-DRUG
titrate O O O
as O O O
needed, O O O
statin. NNP B-NP B-DRUG
Pt O O O
not O O O
on O O O
ASA NNP B-NP B-DRUG
(d/c O O O
d O O O
during O O O
last O O O
hospitalization), O O O
will O O O
clarify O O O
in O O O
AM. O O O
Pre-op O O O
work-up O O O
per O O O
cardiac O O O
surgery O O O
in O O O
preparation O O O
for O O O
CABG. O O O
Pump: O O O
Euvolemia. O O O
Will O O O
continue O O O
Lasix NNP B-NP B-DRUG
40 O O O
mg O O O
and O O O
BB. NNP B-NP B-DRUG
Strict O O O
Is/Os, O O O
daily O O O
wts. O O O
Rhythm: O O O
Cont O O O
BB. NNP B-NP B-DRUG
Replete O O O
lytes O O O
prn. O O O
PULM O O O
Wheezing O O O
during O O O
recent O O O
hospitalization O O O
(?cardiac), O O O
and O O O
smoking O O O
hx. O O O
--Albuterol/Atrovent O O O
prn O O O
ID O O O
afebrile, O O O
no O O O
leukocytosis, O O O
UA O O O
neg. O O O
--Monitor O O O
for O O O
occult O O O
infxn O O O
pre-operatively O O O
--Cont O O O
Nystatin NNP B-NP B-DRUG
powder O O O
as O O O
needed O O O
NEURO/PSYCH O O O
S/p O O O
hypoxic O O O
encephalopathy. O O O
H/o O O O
BAD, O O O
depression, O O O
schizophrenia O O O
--Cont O O O
Trazodone NNP B-NP B-DRUG
and O O O
Olanzapine NNP B-NP B-DRUG
qhs, O O O
Olanzapine NNP B-NP B-DRUG
prn O O O
anxiety/agitation O O O
--Holding O O O
Darvocet NNP B-NP B-DRUG
to O O O
assist O O O
mental O O O
clarity O O O
pre-operatively, O O O
and O O O
uncertain O O O
indication O O O
FEN O O O
--Euvolemia O O O
--Monitor O O O
lytes O O O
--Cont O O O
MVI, NNP B-NP B-DRUG
B12, NNP B-NP B-DRUG
cardiac O O O
diet O O O
PPx O O O
--Lovenox O O O
(will O O O
clarify O O O
timing O O O
of O O O
surgery O O O
and O O O
hold O O O
accordingly) O O O
--Bowel O O O
regimen O O O
--PPI O O O
PT/OT: NNP B-NP B-DRUG
deferred O O O
Access: O O O
PIV O O O
IV O O O
fluids: O O O
none O O O
Telemetry: O O O
continuous O O O
Lines/Tubes: O O O
none O O O
Precautions: O O O
none O O O
Code O O O
Status: O O O
full O O O
Disposition: O O O
plan O O O
for O O O
CABG O O O
on O O O
3/07 O O O
_______________ O O O
Ulysess O O O
Dodge, O O O
MD O O O
Pager O O O
# O O O
11365 O O O

Record O O O
date: O O O
2123-05-01 O O O
INTERNAL O O O
MEDICINE O O O
ASSOCIATES O O O
PENDER O O O
CARE O O O
CENTER O O O
Personal O O O
data O O O
and O O O
overall O O O
health O O O
			 O O O
A O O O
75-year-old O O O
married O O O
woman O O O
with O O O
two O O O
adult O O O
sons, O O O
three O O O
granddaughers. O O O
Was O O O
a O O O
Personnel O O O
Officer. O O O
Primary O O O
care O O O
physician O O O
in O O O
Polson, O O O
VA O O O
is O O O
Dr. O O O
David O O O
Mccall O O O
at O O O
207-155-2827. O O O
Reason O O O
for O O O
visit O O O
			 O O O
Extended O O O
followup, O O O
multiple O O O
medical O O O
problems. O O O
Problem O O O
List O O O
(reviewed) O O O
Diabetes O O O
mellitus O O O
MAJOR O O O
Squamous O O O
cell O O O
carcinoma O O O
of O O O
skin O O O
MAJOR O O O
Atrial O O O
fibrillation O O O
MAJOR O O O
Restless O O O
leg O O O
syndrome O O O
MAJOR O O O
Family O O O
history O O O
risk O O O
factors O O O
MAJOR O O O
Hyperuricemia O O O
MAJOR O O O
Hyperlipidemia O O O
MAJOR O O O
Anemia O O O
MAJOR O O O
Hypertension O O O
MAJOR O O O
Dysthymia O O O
MAJOR O O O
Coronary O O O
artery O O O
disease O O O
MAJOR O O O
Hyperhomocysteinemia O O O
MAJOR O O O
Permanent O O O
pacemaker O O O
MAJOR O O O
Health O O O
maintenance O O O
Major O O O
Problems O O O
Diabetes O O O
mellitus O O O
/insulin O O O
dependent. O O O
Saw O O O
Dr. O O O
Miles O O O
today. O O O
DM O O O
is O O O
under O O O
excellent O O O
control. O O O
He O O O
lowered O O O
Lantus NNP B-NP B-DRUG
by O O O
5 O O O
units. O O O
Squamous O O O
cell O O O
carcinoma O O O
of O O O
skin O O O
/status O O O
post O O O
foot. O O O
The O O O
patient O O O
had O O O
to O O O
have O O O
skin O O O
grafting O O O
following O O O
Kohs O O O
surgery O O O
for O O O
severe O O O
extensive O O O
squamous O O O
cell O O O
carcinoma O O O
on O O O
the O O O
dorsum O O O
of O O O
her O O O
right O O O
foot O O O
in O O O
2118. O O O
Is O O O
followed O O O
by O O O
Dr. O O O
Colleen O O O
Quinonez O O O
in O O O
Milliken O O O
for O O O
skin O O O
exams. O O O
Atrial O O O
fibrillation O O O
tachy O O O
brady O O O
syndrome O O O
now O O O
with O O O
pacemaker O O O
and O O O
beta NNP B-NP B-DRUG
blockade. NNP B-NP I-DRUG
Restless O O O
leg O O O
syndrome O O O
Is O O O
dependent O O O
on O O O
daily O O O
narcotics NNP B-NP B-DRUG
for O O O
pain O O O
control, O O O
but O O O
has O O O
not O O O
escalated O O O
dose. O O O
Family O O O
history O O O
risk O O O
factors O O O
/high O O O
risk O O O
colon O O O
carcinoma. O O O
Is O O O
up O O O
to O O O
date O O O
on O O O
screening. O O O
Hyperuricemia O O O
No O O O
symptoms O O O
of O O O
gout O O O
on O O O
allopurinol NNP B-NP B-DRUG
200 O O O
mg O O O
daily. O O O
Hyperlipidemia O O O
Dr. O O O
Whiteman O O O
left O O O
meds O O O
the O O O
same O O O
last O O O
week, O O O
and O O O
told O O O
her O O O
that O O O
he O O O
was O O O
very O O O
pleased O O O
with O O O
her O O O
lipids O O O
control. O O O
Anemia O O O
CBC O O O
ordered O O O
today. O O O
Hypertension O O O
BP O O O
has O O O
been O O O
well-controlled O O O
in O O O
VA, O O O
usually O O O
in O O O
the O O O
128 O O O
systolic O O O
range. O O O
Dysthymia O O O
/posttraumatic O O O
stress O O O
disorder. O O O
Much O O O
better O O O
after O O O
6 O O O
months O O O
on O O O
the O O O
ocean O O O
in O O O
Virginia. O O O
I O O O
suspect O O O
she O O O
is O O O
feeling O O O
better O O O
with O O O
rate O O O
control O O O
on O O O
meds O O O
+ O O O
pacemaker. O O O
Coronary O O O
artery O O O
disease O O O
No O O O
angina O O O
or O O O
SOB. O O O
After O O O
exam O O O
last O O O
November, O O O
I O O O
asked O O O
Dr. O O O
Nielson O O O
to O O O
see O O O
her O O O
regarding O O O
her O O O
rapid O O O
VR. O O O
He O O O
increased O O O
beta NNP B-NP B-DRUG
blocker NNP B-NP I-DRUG
and O O O
she O O O
developed O O O
what O O O
sounds O O O
like O O O
heart O O O
block O O O
in O O O
VA. O O O
Had O O O
a O O O
pacemaker O O O
placed O O O
and O O O
has O O O
been O O O
asymptomatic O O O
since O O O
then. O O O
Hyperhomocysteinemia O O O
Taking O O O
folic NNP B-NP B-DRUG
acid NNP B-NP I-DRUG
and O O O
b NNP B-NP B-DRUG
vitamins. NNP B-NP I-DRUG
Permanent O O O
pacemaker O O O
Dual O O O
Chamber O O O
Pacemaker O O O
placed O O O
3/23 O O O
for O O O
bradycardia. O O O
P/G O O O
model O O O
# O O O
5435, O O O
serial O O O
# O O O
4712198, O O O
implanted O O O
12/27/22. O O O
RAL O O O
5167DH/20 O O O
Serial O O O
# O O O
SQ462162. O O O
RVL O O O
0049EO/46. O O O
Serial O O O
# O O O
LX39426. O O O
Placed O O O
in O O O
Polson, O O O
VA O O O
3/23 O O O
for O O O
bradycardia. O O O
Cardiologist O O O
there O O O
Dr. O O O
Quenton O O O
Qiu, O O O
203-942-9207. O O O
Other O O O
Problems O O O
Pneumonia O O O
- O O O
Inactivated O O O
Menopausal O O O
syndrome O O O
- O O O
Inactivated O O O
Abnormal O O O
mammogram O O O
- O O O
Inactivated O O O
Health O O O
maintenance O O O
Pap O O O
due O O O
in O O O
August. O O O
Mamm O O O
resulted O O O
in O O O
benign O O O
bx O O O
11/22. O O O
Normal O O O
DEXA O O O
11/22. O O O
Next O O O
colonoscopy O O O
due O O O
in O O O
4/25. O O O
Regular O O O
dental O O O
and O O O
eye O O O
exams. O O O
Close O O O
skin O O O
surveillance. O O O
Active O O O
Medications O O O
allopurinol NNP B-NP B-DRUG
100 O O O
mg O O O
2 O O O
tab O O O
PO O O O
qd O O O
amitriptyline NNP B-NP B-DRUG
10 O O O
mg O O O
po O O O
qhs O O O
increase O O O
gradually O O O
to O O O
3 O O O
at O O O
bedtime O O O
aspirin NNP B-NP B-DRUG
81 O O O
mg O O O
1 O O O
tab O O O
PO O O O
QD O O O
Coumadin NNP B-NP B-DRUG
2.5 O O O
mg O O O
po O O O
qpm O O O
adjust O O O
per O O O
inr O O O
Demadex NNP B-NP B-DRUG
20 O O O
mg O O O
PO O O O
qd O O O
digoxin NNP B-NP B-DRUG
0.125 O O O
mg O O O
po O O O
qd O O O
Diovan NNP B-NP B-DRUG
160mg O O O
po O O O
qd O O O
fenofibrate NNP B-NP B-DRUG
145mg O O O
po O O O
qd O O O
Fish NNP B-NP B-DRUG
oil NNP B-NP I-DRUG
1000mg O O O
po O O O
5 O O O
times O O O
per O O O
day O O O
folic NNP B-NP B-DRUG
acid NNP B-NP I-DRUG
1 O O O
mg O O O
po O O O
qd O O O
glucagon NNP B-NP B-DRUG
1 O O O
mg O O O
PRN O O O
for O O O
hypoglycemia O O O
Humalog NNP B-NP B-DRUG
sliding O O O
scale O O O
sc O O O
tid O O O
Imdur NNP B-NP B-DRUG
30 O O O
mg O O O
po O O O
1bid O O O
Lantus NNP B-NP B-DRUG
55 O O O
units O O O
sc O O O
qhs O O O
do O O O
not O O O
mix O O O
with O O O
other O O O
insulins NNP B-NP B-DRUG
in O O O
same O O O
syringe O O O
Mirapex NNP B-NP B-DRUG
0.125 O O O
mg O O O
po O O O
bid O O O
take O O O
at O O O
5 O O O
pm O O O
and O O O
at O O O
bedtime O O O
multivitamins NNP B-NP B-DRUG
1 O O O
tab O O O
PO O O O
QD O O O
omeprazole NNP B-NP B-DRUG
20mg O O O
po O O O
qd O O O
take O O O
before O O O
meals O O O
percocet NNP B-NP B-DRUG
7.5/500mg O O O
po O O O
1 O O O
tab.qhs.prn O O O
potassium NNP B-NP B-DRUG
chloride NNP B-NP I-DRUG
20 O O O
mg O O O
1/2 O O O
PO O O O
three O O O
times O O O
weekly O O O
pravastatin NNP B-NP B-DRUG
80mg O O O
po O O O
qd O O O
take O O O
with O O O
evening O O O
meal O O O
Toprol NNP B-NP B-DRUG
XL NNP B-NP I-DRUG
100 O O O
mg O O O
po O O O
qd O O O
Zetia NNP B-NP B-DRUG
10mg O O O
po O O O
qd O O O
Change O O O
in O O O
therapies O O O
and O O O
Renewals O O O
potassium NNP B-NP B-DRUG
chloride NNP B-NP I-DRUG
20 O O O
mg O O O
1/2 O O O
PO O O O
three O O O
times O O O
weekly O O O
QTY:45 O O O
Refills:3 O O O
Start: O O O
9/23/2120 O O O
Demadex NNP B-NP B-DRUG
20 O O O
mg O O O
PO O O O
qd O O O
QTY:135 O O O
Refills:3 O O O
Start: O O O
9/23/2120 O O O
percocet NNP B-NP B-DRUG
7.5/500mg O O O
po O O O
1 O O O
tab.qhs.prn O O O
QTY:90 O O O
Refills:0 O O O
Start: O O O
9/23/2120 O O O
Mirapex NNP B-NP B-DRUG
0.125 O O O
mg O O O
po O O O
bid O O O
take O O O
at O O O
5 O O O
pm O O O
and O O O
at O O O
bedtime O O O
QTY:60 O O O
Refills:3 O O O
Start: O O O
05/01/2123 O O O
Fish NNP B-NP B-DRUG
oil NNP B-NP I-DRUG
1000mg O O O
po O O O
5 O O O
times O O O
per O O O
day O O O
Start: O O O
05/01/2123 O O O
Humalog NNP B-NP B-DRUG
sliding O O O
scale O O O
sc O O O
tid O O O
Start: O O O
6/28/2122 O O O
Lantus NNP B-NP B-DRUG
55 O O O
units O O O
sc O O O
qhs O O O
do O O O
not O O O
mix O O O
with O O O
other O O O
insulins NNP B-NP B-DRUG
in O O O
same O O O
syringe O O O
QTY:3-month O O O
supply O O O
Refills:3 O O O
Start: O O O
6/28/2122 O O O
Toprol NNP B-NP B-DRUG
XL NNP B-NP I-DRUG
100 O O O
mg O O O
po O O O
qd O O O
Start: O O O
05/01/2123 O O O
omeprazole NNP B-NP B-DRUG
20mg O O O
po O O O
qd O O O
take O O O
before O O O
meals O O O
Start: O O O
05/01/2123 O O O
Past O O O
medical O O O
history O O O
			 O O O
Hospitalized O O O
2115 O O O
TCH O O O
for O O O
ROMI O O O
2120 O O O
TCH O O O
new O O O
onset O O O
A O O O
Fib O O O
with O O O
CHF O O O
2120 O O O
PCC O O O
for O O O
atypical O O O
pneumonia O O O
Surgery: O O O
Appendectomy O O O
2064 O O O
C-section O O O
x O O O
2 O O O
Breast O O O
biopsies O O O
2090 O O O
and O O O
2097 O O O
Koh's O O O
surgery O O O
dorsum O O O
foot O O O
DFCI O O O
2118 O O O
Family O O O
history O O O
			 O O O
Both O O O
parents O O O
died O O O
of O O O
sudden O O O
death O O O
in O O O
their O O O
82nd O O O
year. O O O
Brother O O O
had O O O
SCD O O O
at O O O
66. O O O
Mother O O O
had O O O
breast O O O
cancer O O O
at O O O
80 O O O
as O O O
did O O O
mother's O O O
sister O O O
in O O O
her O O O
50's. O O O
Father O O O
had O O O
hpt, O O O
gout O O O
and O O O
glaucoma. O O O
Social O O O
history O O O
			 O O O
Patient O O O
was O O O
born O O O
and O O O
raised O O O
in O O O
rural O O O
Finland. O O O
She O O O
was O O O
hidden O O O
by O O O
an O O O
uncle O O O
in O O O
a O O O
farm O O O
house O O O
during O O O
the O O O
war, O O O
which O O O
was O O O
frightening, O O O
lonely O O O
and O O O
phsycially O O O
taxing. O O O
After O O O
liberation, O O O
she O O O
came O O O
to O O O
Algeria O O O
where O O O
she O O O
met O O O
her O O O
husband. O O O
She O O O
was O O O
going O O O
to O O O
school O O O
when O O O
she O O O
married O O O
and O O O
started O O O
her O O O
family. O O O
She O O O
is O O O
very O O O
happily O O O
married O O O
and O O O
lives O O O
in O O O
Polson, O O O
VA O O O
half O O O
the O O O
year. O O O
Habits/Risk O O O
Screening O O O
Activity O O O
level: O O O
sedentary O O O
Smoking O O O
status: O O O
never O O O
smoked O O O
Alcohol O O O
use O O O
status: O O O
moderate O O O
Averages O O O
1 O O O
drink O O O
per O O O
week. O O O
Drug O O O
use O O O
status: O O O
opiates O O O
One O O O
percocet NNP B-NP B-DRUG
qhs O O O
for O O O
restless O O O
less O O O
syndrome O O O
Advance O O O
directives O O O
			 O O O
Living O O O
will O O O
on O O O
file O O O
with O O O
attorney. O O O
Son O O O
is O O O
heath O O O
care O O O
proxy. O O O
His O O O
name O O O
is O O O
Norman O O O
Werner O O O
at O O O
515-562-2325. O O O
Procedures O O O
and O O O
Immunizations O O O
Urine O O O
dip O O O
stick O O O
negative O O O
x O O O
6. O O O
Review O O O
of O O O
systems O O O
			 O O O
General: O O O
chronic O O O
fatigue, O O O
anxiety O O O
and O O O
struggling O O O
with O O O
weight; O O O
in O O O
general, O O O
feeling O O O
much O O O
better. O O O
. O O O
HEENT: O O O
neg O O O
except O O O
for O O O
hearing O O O
loss. O O O
Resp, O O O
negative. O O O
Cor, O O O
see O O O
problems. O O O
GI, O O O
negative. O O O
GU, O O O
negative. O O O
GYN, O O O
negative. O O O
Endocr, O O O
see O O O
problem O O O
DM. O O O
Neuro, O O O
negative. O O O
Mood, O O O
stable. O O O
Skin, O O O
see O O O
problems. O O O
MS, O O O
mild O O O
OA O O O
sxs. O O O
Physical O O O
examination O O O
Blood O O O
pressure O O O
130/60 O O O
large O O O
cuff O O O
Weight O O O
204 O O O
Height O O O
61.5 O O O
General O O O
appearance O O O
Nancy O O O
looks O O O
well O O O
and O O O
happy. O O O
Skin O O O
No O O O
rashes, O O O
anicteric. O O O
Extensive O O O
solar O O O
damage O O O
with O O O
many O O O
actinic O O O
keratoses O O O
Heent O O O
NC/AT, O O O
PERRL, O O O
EOMI, O O O
O/P O O O
clear O O O
without O O O
erythema O O O
or O O O
exudates. O O O
Hearing O O O
diminished O O O
with O O O
cerumin O O O
bilaterally O O O
Neck O O O
supple; O O O
carotid O O O
upstroke O O O
normal O O O
without O O O
bruits; O O O
no O O O
JVD; O O O
thyroid O O O
small, O O O
smooth, O O O
midline O O O
and O O O
symmetric O O O
Nodes O O O
no O O O
palpable O O O
lymphadenopathy O O O
in O O O
cervical, O O O
axillary O O O
or O O O
groin O O O
lymph O O O
nodes O O O
Breasts O O O
no O O O
nodule, O O O
lump, O O O
skin O O O
or O O O
nipple O O O
change; O O O
axilla O O O
negative O O O
Chest O O O
no O O O
skeletal O O O
abnormalities O O O
spine O O O
and O O O
thorax; O O O
lungs O O O
clear O O O
to O O O
percussion O O O
and O O O
auscultation O O O
Cor O O O
Apical O O O
impulse, O O O
quiet. O O O
S1 O O O
and O O O
S2 O O O
are O O O
normal. O O O
Regular O O O
rhythm O O O
at O O O
62. O O O
No O O O
murmur O O O
or O O O
gallop. O O O
Abdomen O O O
NT/ND, O O O
no O O O
HSM. O O O
No O O O
masses O O O
Rectal O O O
exam O O O
Deferred O O O
to O O O
gyn. O O O
Genitalia O O O
Deferred O O O
to O O O
gyn O O O
Extrem O O O
No O O O
clubbing, O O O
cyanosis, O O O
edema. O O O
Palpable O O O
pedal O O O
pulses. O O O
Minimal O O O
OA O O O
changes. O O O
Foot O O O
exam O O O
Negative O O O
Selected O O O
recent O O O
labs O O O
			 O O O
4/9/23 O O O
in O O O
VA: O O O
BUN/Creat, O O O
56/1.6 O O O
K+, O O O
4.2 O O O
A1c, O O O
6.8 O O O
HGB/HCT O O O
11.1/32 O O O
with O O O
normal O O O
Fe++ O O O
studies O O O
Microalb O O O
urine, O O O
0.7 O O O
(normal) O O O
with O O O
alb/creat O O O
ratio O O O
35 O O O
(normal O O O
< O O O
30). O O O
